customer_id,age,gender,employment_type,annual_income,credit_score,credit_segment,income_segment,income_in_months
1,56,Male,Self-Employed,309000.0,718.0,Good,Low,25750.0
2,69,Female,Unemployed,290000.0,312.0,Poor,Low,24166.666666666668
3,46,Female,Unemployed,881000.0,848.0,Excellent,High,73416.66666666667
4,32,Male,Salaried,44000.0,563.0,Poor,Low,3666.6666666666665
5,60,Male,Self-Employed,445000.0,559.0,Poor,Medium,37083.333333333336
6,25,Male,Self-Employed,799000.0,542.0,Poor,Medium,66583.33333333333
7,38,Female,Salaried,601000.0,602.0,Fair,Medium,50083.333333333336
8,56,Male,Salaried,752000.0,398.0,Poor,Medium,62666.666666666664
9,36,Female,Salaried,740000.0,810.0,Excellent,Medium,61666.666666666664
10,40,Male,Self-Employed,646000.0,572.0,Fair,Medium,53833.333333333336
11,28,Female,Salaried,992000.0,373.0,Poor,High,82666.66666666667
12,28,Female,Salaried,991000.0,602.0,Fair,High,82583.33333333333
13,41,Female,Self-Employed,732000.0,505.0,Poor,Medium,61000.0
14,53,Female,Salaried,653000.0,368.0,Poor,Medium,54416.666666666664
15,57,Male,Salaried,309000.0,891.0,Excellent,Low,25750.0
16,41,Male,Salaried,365000.0,518.0,Poor,Low,30416.666666666668
17,20,Male,Unemployed,25000.0,311.0,Poor,Low,2083.3333333333335
18,39,Male,Salaried,540000.0,778.0,Excellent,Medium,45000.0
19,19,Female,Salaried,263000.0,775.0,Excellent,Low,21916.666666666668
20,41,Female,Salaried,358000.0,589.0,Fair,Low,29833.333333333332
21,61,Female,Salaried,957000.0,634.0,Fair,High,79750.0
22,47,Male,Salaried,861000.0,855.0,Excellent,High,71750.0
23,55,Male,Self-Employed,410000.0,733.0,Excellent,Medium,34166.666666666664
24,19,Female,Self-Employed,480000.0,810.0,Excellent,Medium,40000.0
25,38,Male,Self-Employed,1267000.0,477.0,Poor,High,105583.33333333333
26,50,Female,Self-Employed,347000.0,519.0,Poor,Low,28916.666666666668
27,29,Female,Salaried,810000.0,647.0,Fair,High,67500.0
28,39,Male,Unemployed,1064000.0,303.0,Poor,High,88666.66666666667
29,61,Male,Unemployed,670000.0,457.0,Poor,Medium,55833.333333333336
30,42,Female,Salaried,601000.0,318.0,Poor,Medium,50083.333333333336
31,66,Female,Salaried,91000.0,350.0,Poor,Low,7583.333333333333
32,44,Female,Salaried,478000.0,414.0,Poor,Medium,39833.333333333336
33,59,Female,Self-Employed,655000.0,424.0,Poor,Medium,54583.333333333336
34,45,Female,Salaried,1033000.0,569.0,Poor,High,86083.33333333333
35,33,Female,Self-Employed,435000.0,837.0,Excellent,Medium,36250.0
36,32,Male,Salaried,644000.0,616.0,Fair,Medium,53666.666666666664
37,64,Female,Salaried,975000.0,742.0,Excellent,High,81250.0
38,68,Male,Salaried,924000.0,362.0,Poor,High,77000.0
39,61,Female,Salaried,723000.0,894.0,Excellent,Medium,60250.0
40,69,Female,Salaried,418000.0,870.0,Excellent,Medium,34833.333333333336
41,20,Male,Unemployed,761000.0,442.0,Poor,Medium,63416.666666666664
42,54,Male,Unemployed,646000.0,425.0,Poor,Medium,53833.333333333336
43,68,Female,Salaried,238000.0,817.0,Excellent,Low,19833.333333333332
44,24,Male,Salaried,538000.0,427.0,Poor,Medium,44833.333333333336
45,38,Female,Unemployed,766000.0,775.0,Excellent,Medium,63833.333333333336
46,26,Male,Self-Employed,1054000.0,378.0,Poor,High,87833.33333333333
47,56,Female,Salaried,370000.0,633.0,Fair,Low,30833.333333333332
48,35,Male,Unemployed,601000.0,456.0,Poor,Medium,50083.333333333336
49,21,Female,Salaried,422000.0,748.0,Excellent,Medium,35166.666666666664
50,42,Male,Salaried,583000.0,845.0,Excellent,Medium,48583.333333333336
51,31,Male,Salaried,601000.0,569.0,Poor,Medium,50083.333333333336
52,67,Male,Self-Employed,1181000.0,324.0,Poor,High,98416.66666666667
53,26,Female,Salaried,795000.0,821.0,Excellent,Medium,66250.0
54,43,Male,Unemployed,841000.0,523.0,Poor,High,70083.33333333333
55,19,Female,Salaried,389000.0,318.0,Poor,Low,32416.666666666668
56,37,Male,Salaried,759000.0,837.0,Excellent,Medium,63250.0
57,45,Female,Unemployed,242000.0,732.0,Excellent,Low,20166.666666666668
58,64,Male,Unemployed,601000.0,544.0,Poor,Medium,50083.333333333336
59,24,Female,Salaried,465000.0,749.0,Excellent,Medium,38750.0
60,61,Male,Self-Employed,1007000.0,373.0,Poor,High,83916.66666666667
61,25,Female,Self-Employed,477000.0,677.0,Good,Medium,39750.0
62,64,Female,Self-Employed,800000.0,834.0,Excellent,High,66666.66666666667
63,52,Male,Salaried,601000.0,461.0,Poor,Medium,50083.333333333336
64,31,Male,Unemployed,574000.0,417.0,Poor,Medium,47833.333333333336
65,34,Male,Unemployed,1132000.0,431.0,Poor,High,94333.33333333333
66,53,Male,Unemployed,32000.0,551.0,Poor,Low,2666.6666666666665
67,67,Male,Salaried,424000.0,825.0,Excellent,Medium,35333.333333333336
68,57,Male,Salaried,748000.0,607.0,Fair,Medium,62333.333333333336
