customer_id,age,gender,employment_type,annual_income,credit_score,city_tier
1,56,Male,Self-Employed,309000.0,718.0,Tier 3
2,69,Female,Unemployed,290000.0,312.0,Tier 3
3,46,Female,Unemployed,881000.0,848.0,
4,32,Male,,44000.0,563.0,Tier 1
5,60,Male,Self-Employed,445000.0,559.0,Tier 1
6,25,Male,Self-Employed,799000.0,542.0,Tier 1
7,38,Female,Salaried,,,Tier 2
8,56,Male,Salaried,752000.0,398.0,Tier 1
9,36,Female,Salaried,740000.0,810.0,
10,40,Male,Self-Employed,646000.0,572.0,Tier 1
11,28,Female,Salaried,992000.0,373.0,Tier 1
12,28,Female,Salaried,991000.0,,Tier 2
13,41,Female,Self-Employed,732000.0,505.0,
14,53,Female,Salaried,653000.0,368.0,Tier 1
15,57,Male,Salaried,309000.0,891.0,
16,41,Male,Salaried,365000.0,518.0,Tier 2
17,20,,Unemployed,25000.0,311.0,Tier 1
18,39,Male,Salaried,540000.0,778.0,
19,19,Female,Salaried,263000.0,775.0,Tier 3
20,41,Female,Salaried,358000.0,589.0,Tier 2
21,61,Female,Salaried,957000.0,634.0,Tier 2
22,47,Male,Salaried,861000.0,855.0,
23,55,Male,Self-Employed,410000.0,733.0,Tier 3
24,19,Female,Self-Employed,480000.0,810.0,Tier 1
25,38,Male,Self-Employed,1267000.0,477.0,Tier 1
26,50,Female,Self-Employed,347000.0,519.0,Tier 3
27,29,Female,Salaried,810000.0,647.0,Tier 3
28,39,Male,Unemployed,1064000.0,303.0,Tier 3
29,61,Male,Unemployed,670000.0,457.0,Tier 2
30,42,Female,Salaried,,318.0,Tier 3
31,66,Female,Salaried,91000.0,350.0,Tier 2
32,44,Female,Salaried,478000.0,414.0,Tier 2
33,59,Female,Self-Employed,655000.0,424.0,
34,45,Female,Salaried,1033000.0,569.0,Tier 2
35,33,Female,Self-Employed,435000.0,837.0,
36,32,Male,Salaried,644000.0,616.0,
37,64,Female,Salaried,975000.0,742.0,Tier 3
38,68,Male,Salaried,924000.0,362.0,
39,61,Female,,723000.0,894.0,Tier 3
40,69,Female,Salaried,418000.0,870.0,Tier 1
41,20,Male,Unemployed,761000.0,442.0,Tier 1
42,54,Male,Unemployed,646000.0,425.0,Tier 2
43,68,Female,Salaried,238000.0,817.0,Tier 2
44,24,Male,Salaried,538000.0,427.0,
45,38,Female,Unemployed,766000.0,775.0,Tier 3
46,26,Male,Self-Employed,1054000.0,378.0,Tier 2
47,56,Female,Salaried,370000.0,633.0,Tier 2
48,35,Male,Unemployed,,456.0,Tier 3
49,21,Female,Salaried,422000.0,748.0,
50,42,Male,Salaried,583000.0,845.0,
51,31,Male,Salaried,,569.0,Tier 2
52,67,Male,Self-Employed,1181000.0,324.0,Tier 2
53,26,Female,Salaried,795000.0,821.0,
54,43,Male,Unemployed,841000.0,523.0,Tier 3
55,19,Female,Salaried,389000.0,318.0,Tier 3
56,37,Male,Salaried,759000.0,837.0,Tier 2
57,45,Female,Unemployed,242000.0,732.0,Tier 1
58,64,Male,Unemployed,,544.0,Tier 2
59,24,Female,Salaried,465000.0,749.0,Tier 3
60,61,Male,Self-Employed,1007000.0,373.0,
61,25,Female,Self-Employed,477000.0,677.0,Tier 1
62,64,Female,Self-Employed,800000.0,834.0,
63,52,Male,Salaried,,461.0,Tier 1
64,31,Male,Unemployed,574000.0,417.0,Tier 1
65,34,Male,Unemployed,1132000.0,431.0,Tier 2
66,53,Male,Unemployed,32000.0,551.0,Tier 3
67,67,Male,Salaried,424000.0,825.0,Tier 3
68,57,Male,Salaried,748000.0,607.0,Tier 1
69,21,Female,Salaried,560000.0,851.0,Tier 2
70,19,Male,Unemployed,767000.0,545.0,Tier 1
71,23,Male,Salaried,304000.0,484.0,Tier 3
72,59,Male,Salaried,1218000.0,793.0,Tier 1
73,21,Female,Unemployed,1062000.0,899.0,Tier 3
74,46,Male,Salaried,,515.0,Tier 1
75,35,Female,Salaried,299000.0,781.0,Tier 3
76,43,Female,Unemployed,606000.0,521.0,Tier 1
77,61,Female,Salaried,918000.0,783.0,Tier 3
78,51,Male,Unemployed,426000.0,821.0,Tier 3
79,27,Female,Salaried,1058000.0,637.0,Tier 2
80,53,Male,Salaried,723000.0,735.0,Tier 3
81,31,Female,Salaried,554000.0,461.0,Tier 3
82,48,Female,Unemployed,891000.0,821.0,Tier 1
83,65,Female,Self-Employed,358000.0,819.0,
84,32,Other,Salaried,509000.0,756.0,Tier 2
85,25,Female,Self-Employed,435000.0,744.0,Tier 2
86,31,Male,Salaried,117000.0,551.0,
87,40,Male,Salaried,24000.0,370.0,Tier 3
88,57,Female,Salaried,332000.0,878.0,Tier 2
89,38,Female,Unemployed,381000.0,833.0,Tier 3
90,33,Female,Salaried,798000.0,626.0,Tier 1
91,62,Female,Unemployed,491000.0,,Tier 1
92,35,Male,Self-Employed,791000.0,760.0,
93,64,Female,Salaried,113000.0,877.0,Tier 2
94,41,Female,Self-Employed,700000.0,,Tier 2
95,43,Male,Self-Employed,,420.0,
96,42,Male,Salaried,453000.0,520.0,Tier 1
97,62,Female,Salaried,888000.0,311.0,Tier 1
98,58,Female,Self-Employed,500000.0,870.0,Tier 1
99,46,Female,Salaried,,707.0,Tier 3
100,32,Male,Salaried,975000.0,453.0,
101,62,Male,Salaried,,597.0,Tier 1
102,18,Female,Self-Employed,1036000.0,849.0,Tier 2
103,42,Female,Salaried,227000.0,,Tier 1
104,24,Male,Salaried,64000.0,649.0,Tier 2
105,26,Female,Salaried,1053000.0,698.0,Tier 3
106,41,Female,Salaried,211000.0,704.0,
107,18,Female,Salaried,598000.0,722.0,Tier 3
108,61,Female,Unemployed,565000.0,465.0,Tier 2
109,25,Male,Salaried,402000.0,681.0,Tier 1
110,41,Female,Self-Employed,231000.0,380.0,Tier 3
111,28,Male,Unemployed,491000.0,766.0,Tier 3
112,68,Female,,878000.0,310.0,Tier 2
113,34,Male,Self-Employed,428000.0,641.0,
114,25,Female,,231000.0,493.0,
115,52,Female,Salaried,627000.0,524.0,Tier 3
116,52,Female,Self-Employed,6000.0,405.0,Tier 2
117,50,Female,Unemployed,690000.0,614.0,Tier 2
118,22,Male,Salaried,783000.0,367.0,Tier 3
119,59,Female,Salaried,462000.0,456.0,Tier 3
120,56,Male,Self-Employed,843000.0,530.0,Tier 1
121,58,Male,Salaried,,685.0,Tier 3
