loan_id,customer_id,loan_amount,interest_rate,loan_term_months,emi,disbursal_date
1,43331,50000,12.6,18,3127.78,2025-02-08
2,43331,100000,29.68,36,3602.22,2025-07-08
3,9202,300000,12.76,6,56380.0,2025-03-30
4,7000,500000,26.45,36,17562.5,2024-03-06
5,5013,500000,22.07,24,25431.25,2025-12-23
6,11713,50000,30.21,12,5425.42,2024-03-21
7,25352,200000,18.67,12,19778.33,2025-06-13
8,13481,200000,14.45,24,9537.5,2025-11-21
9,13481,200000,26.49,6,42163.33,2025-01-27
10,13481,500000,15.0,24,23958.33,2023-06-22
11,634,200000,31.91,36,7328.33,2024-11-29
13,20675,200000,35.65,12,22608.33,2024-02-17
14,277,300000,18.67,18,19778.33,2025-03-23
15,7290,200000,17.03,18,13003.33,2023-04-24
16,34190,50000,26.62,12,5275.83,2023-05-02
17,42590,100000,15.92,24,4830.0,2023-03-13
18,42590,500000,17.27,18,32575.0,2024-04-25
19,15811,50000,17.5,6,9791.67,2023-04-27
20,41132,300000,18.43,12,29607.5,2023-12-08
21,42546,500000,33.03,18,36952.78,2025-03-11
22,42546,300000,21.5,24,15187.5,2023-11-20
23,46018,100000,17.92,36,3275.56,2024-04-15
24,46018,500000,22.28,36,16983.33,2024-07-10
25,26993,100000,35.94,12,11328.33,2025-06-28
26,26993,50000,30.14,6,10845.0,2024-01-26
27,45844,100000,31.01,24,5458.75,2023-07-10
28,35942,300000,21.16,24,15145.0,2025-11-16
29,35942,500000,32.66,6,110550.0,2025-08-08
30,35942,50000,28.36,36,1782.78,2024-03-21
31,25969,200000,14.68,24,9556.67,2023-08-11
32,25969,50000,34.89,18,3746.94,2023-02-14
33,25969,100000,24.18,6,20696.67,2025-03-28
34,49415,200000,32.2,36,7344.44,2024-12-06
35,49415,100000,20.97,12,10080.83,2023-03-31
36,37405,500000,34.04,36,18616.67,2024-11-26
37,23104,50000,14.68,18,3185.56,2024-12-22
38,39917,200000,17.75,12,19625.0,2025-09-29
39,10891,50000,14.06,24,2376.25,2024-02-17
40,6380,500000,30.38,12,54325.0,2025-01-07
41,9817,500000,15.96,36,16105.56,2025-12-17
42,9817,300000,35.14,36,11261.67,2025-09-30
43,9817,100000,29.11,24,5379.58,2023-07-23
44,37639,200000,22.51,36,6806.11,2025-01-29
46,6851,500000,17.29,6,97741.67,2023-03-12
47,48849,50000,17.49,6,9790.83,2025-04-25
48,48849,50000,24.34,18,3453.89,2024-08-27
49,11651,100000,24.94,36,3470.56,2025-06-14
50,31174,100000,30.83,24,5451.25,2023-12-25
51,39619,50000,27.82,18,3550.56,2024-08-10
52,4420,300000,32.73,6,66365.0,2024-02-02
53,11828,50000,13.45,18,3151.39,2023-05-18
54,11828,50000,17.97,12,4915.42,2025-11-17
55,11828,100000,22.13,18,6785.0,2023-04-25
56,27391,50000,22.64,36,1703.33,2023-11-16
57,15191,500000,32.06,6,110050.0,2023-03-03
58,5193,100000,15.99,24,4832.92,2023-05-21
59,29504,300000,33.66,12,33415.0,2023-12-04
60,29504,300000,18.36,24,14795.0,2023-11-20
61,28753,500000,27.88,24,26641.67,2025-01-20
62,14808,200000,17.22,6,39073.33,2023-11-11
63,14808,500000,13.46,18,31516.67,2025-04-28
64,22240,500000,23.44,36,17144.44,2024-08-28
65,22240,500000,13.92,12,47466.67,2023-02-28
66,22240,50000,28.21,12,5342.08,2023-01-21
68,43180,500000,25.57,18,34880.56,2025-04-25
69,43180,100000,28.07,18,7115.0,2025-02-11
70,30626,300000,15.14,18,19190.0,2025-12-30
71,1476,50000,12.22,36,1558.61,2024-02-05
72,48041,50000,13.76,12,4740.0,2023-07-15
73,26878,100000,34.4,6,22400.0,2024-12-21
74,39213,200000,18.84,24,9903.33,2025-01-07
76,3231,200000,34.36,6,44786.67,2025-06-23
77,44379,100000,18.35,6,19725.0,2025-01-12
78,43019,100000,18.54,36,3292.78,2023-03-18
79,3919,200000,16.89,18,12987.78,2025-09-15
80,10858,200000,33.73,6,44576.67,2023-04-17
82,6208,200000,15.88,24,9656.67,2023-04-02
83,22980,300000,25.46,6,62730.0,2023-04-15
84,39460,100000,25.09,18,6949.44,2023-08-18
85,7372,100000,22.31,6,20385.0,2025-05-14
86,37031,50000,33.57,12,5565.42,2023-04-10
87,35865,50000,20.49,36,1673.47,2024-03-22
88,6279,300000,35.37,12,33842.5,2025-05-24
89,6279,100000,32.75,12,11062.5,2025-06-16
90,45591,50000,16.3,18,3230.56,2024-02-11
91,23884,300000,31.25,12,32812.5,2025-11-07
92,6532,50000,21.18,6,10098.33,2024-05-01
93,1603,100000,16.79,24,4866.25,2025-08-24
94,36509,100000,17.35,12,9779.17,2024-06-17
95,47634,200000,32.74,18,14748.89,2026-01-06
