loan_id,months_paid,default_flag,recovered_amount,loan_amount,loan_term_months,loss_amount,interest_earned
1,15,0,46916.7,50000,18,0.0,46916.7
2,29,0,100000.0,100000,36,0.0,100000.0
3,3,0,169140.0,300000,6,0.0,169140.0
4,6,0,105375.0,500000,36,0.0,105375.0
5,13,0,330606.25,500000,24,0.0,330606.25
6,11,0,50000.0,50000,12,0.0,50000.0
7,9,0,178004.97,200000,12,0.0,178004.97
8,9,0,85837.5,200000,24,0.0,85837.5
9,7,0,200000.0,200000,6,0.0,200000.0
10,20,0,479166.6,500000,24,0.0,479166.6
11,5,0,36641.65,200000,36,0.0,36641.65
13,14,0,200000.0,200000,12,0.0,200000.0
14,5,0,98891.65,300000,18,0.0,98891.65
15,24,1,149164.46,200000,18,50835.54000000001,149164.46
16,4,0,21103.32,50000,12,0.0,21103.32
17,3,0,14490.0,100000,24,0.0,14490.0
18,3,1,71512.34,500000,18,428487.66000000003,71512.34
19,7,0,50000.0,50000,6,0.0,50000.0
20,7,0,207252.5,300000,12,0.0,207252.5
21,9,0,332575.02,500000,18,0.0,332575.02
22,10,1,86356.45,300000,24,213643.55,86356.45
23,39,0,100000.0,100000,36,0.0,100000.0
24,24,0,407599.92,500000,36,0.0,407599.92
25,13,1,100000.0,100000,12,0.0,100000.0
26,7,0,50000.0,50000,6,0.0,50000.0
27,10,0,54587.5,100000,24,0.0,54587.5
28,8,0,121160.0,300000,24,0.0,121160.0
29,2,0,221100.0,500000,6,0.0,221100.0
30,42,0,50000.0,50000,36,0.0,50000.0
31,17,0,162463.39,200000,24,0.0,162463.39
32,4,0,22481.64,50000,18,0.0,22481.64
33,11,0,100000.0,100000,6,0.0,100000.0
34,17,0,124855.48,200000,36,0.0,124855.48
35,13,0,100000.0,100000,12,0.0,100000.0
36,36,0,500000.0,500000,36,0.0,500000.0
37,2,1,5084.19,50000,18,44915.81,5084.19
38,14,0,200000.0,200000,12,0.0,200000.0
39,30,0,50000.0,50000,24,0.0,50000.0
40,13,0,500000.0,500000,12,0.0,500000.0
41,25,1,226928.6,500000,36,273071.4,226928.6
42,28,1,159484.95,300000,36,140515.05,159484.95
43,9,0,48416.22,100000,24,0.0,48416.22
44,36,0,200000.0,200000,36,0.0,200000.0
46,9,1,478748.77,500000,6,21251.22999999998,478748.77
47,12,0,50000.0,50000,6,0.0,50000.0
48,5,1,15348.98,50000,18,34651.020000000004,15348.98
49,29,0,100000.0,100000,36,0.0,100000.0
50,9,0,49061.25,100000,24,0.0,49061.25
51,7,0,24853.92,50000,18,0.0,24853.92
52,12,0,300000.0,300000,6,0.0,300000.0
53,17,0,50000.0,50000,18,0.0,50000.0
54,13,0,50000.0,50000,12,0.0,50000.0
55,8,0,54280.0,100000,18,0.0,54280.0
56,24,0,40879.92,50000,36,0.0,40879.92
57,5,0,500000.0,500000,6,0.0,500000.0
58,7,0,33830.44,100000,24,0.0,33830.44
59,16,1,219980.78,300000,12,80019.22,219980.78
60,10,1,98374.77,300000,24,201625.22999999998,98374.77
61,8,0,213133.36,500000,24,0.0,213133.36
62,7,1,84105.87,200000,6,115894.13,84105.87
63,14,0,500000.0,500000,18,0.0,500000.0
64,21,0,360033.24,500000,36,0.0,360033.24
65,14,0,500000.0,500000,12,0.0,500000.0
66,11,0,50000.0,50000,12,0.0,50000.0
68,17,0,500000.0,500000,18,0.0,500000.0
69,10,0,71150.0,100000,18,0.0,71150.0
70,23,0,300000.0,300000,18,0.0,300000.0
71,25,0,38965.25,50000,36,0.0,38965.25
72,15,0,50000.0,50000,12,0.0,50000.0
73,7,1,85962.67,100000,6,14037.330000000002,85962.67
74,17,0,168356.61,200000,24,0.0,168356.61
76,11,0,200000.0,200000,6,0.0,200000.0
77,11,1,100000.0,100000,6,0.0,100000.0
78,14,0,46098.92,100000,36,0.0,46098.92
79,15,0,194816.7,200000,18,0.0,194816.7
80,10,0,200000.0,200000,6,0.0,200000.0
82,20,0,193133.4,200000,24,0.0,193133.4
83,1,0,62730.0,300000,6,0.0,62730.0
84,13,0,90342.72,100000,18,0.0,90342.72
85,6,0,100000.0,100000,6,0.0,100000.0
86,8,0,50000.0,50000,12,0.0,50000.0
87,18,0,30122.46,50000,36,0.0,30122.46
88,8,1,174959.08,300000,12,125040.92000000001,174959.08
89,16,1,85924.37,100000,12,14075.630000000005,85924.37
90,13,0,41997.28,50000,18,0.0,41997.28
91,12,1,224586.58,300000,12,75413.42000000001,224586.58
92,5,0,50000.0,50000,6,0.0,50000.0
93,4,0,19465.0,100000,24,0.0,19465.0
94,9,0,88012.53,100000,12,0.0,88012.53
95,4,0,58995.56,200000,18,0.0,58995.56
96,36,0,500000.0,500000,36,0.0,500000.0
97,3,0,14346.27,50000,18,0.0,14346.27
98,40,0,200000.0,200000,36,0.0,200000.0
99,9,0,61235.01,200000,36,0.0,61235.01
100,2,0,194266.66,500000,6,0.0,194266.66
101,40,1,39912.06,50000,36,10087.940000000002,39912.06
102,12,0,100000.0,100000,6,0.0,100000.0
103,1,1,37822.42,200000,6,162177.58000000002,37822.42
104,17,0,200000.0,200000,24,0.0,200000.0
105,18,0,200000.0,200000,12,0.0,200000.0
106,10,0,300000.0,300000,12,0.0,300000.0
107,8,0,200000.0,200000,6,0.0,200000.0
108,18,0,61160.04,100000,36,0.0,61160.04
109,17,0,174476.61,200000,24,0.0,174476.61
110,12,0,500000.0,500000,12,0.0,500000.0
111,11,0,76003.84,200000,36,0.0,76003.84
112,1,1,4169.87,100000,12,95830.13,4169.87
113,18,0,100000.0,100000,12,0.0,100000.0
114,7,1,401934.02,500000,6,98065.97999999998,401934.02
115,5,0,121531.25,500000,24,0.0,121531.25
116,3,0,57770.01,100000,6,0.0,57770.01
117,6,0,32670.0,50000,12,0.0,32670.0
118,36,1,484867.67,500000,36,15132.330000000016,484867.67
119,14,0,50000.0,50000,24,0.0,50000.0
120,28,0,500000.0,500000,24,0.0,500000.0
121,13,0,220711.14,500000,36,0.0,220711.14
122,18,0,100000.0,100000,24,0.0,100000.0
123,18,0,100000.0,100000,18,0.0,100000.0
124,6,0,309075.0,500000,12,0.0,309075.0
125,12,0,50000.0,50000,12,0.0,50000.0
126,12,0,200000.0,200000,6,0.0,200000.0
127,1,1,7820.53,100000,12,92179.47,7820.53
128,14,0,47428.92,50000,18,0.0,47428.92
129,19,0,269538.75,300000,24,0.0,269538.75
130,5,0,500000.0,500000,6,0.0,500000.0
131,4,0,403766.68,500000,6,0.0,403766.68
132,18,0,195120.0,200000,24,0.0,195120.0
133,16,0,500000.0,500000,12,0.0,500000.0
134,6,0,200000.0,200000,6,0.0,200000.0
135,24,0,300000.0,300000,24,0.0,300000.0
136,14,0,364058.38,500000,24,0.0,364058.38
137,4,0,9500.84,50000,24,0.0,9500.84
138,16,0,300000.0,300000,18,0.0,300000.0
139,5,0,34141.65,100000,18,0.0,34141.65
140,2,1,11991.58,300000,24,288008.42,11991.58
141,11,0,18835.96,50000,36,0.0,18835.96
142,4,0,156506.68,200000,6,0.0,156506.68
143,14,1,50000.0,50000,12,0.0,50000.0
144,15,0,50000.0,50000,12,0.0,50000.0
145,14,1,50000.0,50000,12,0.0,50000.0
146,9,0,195615.0,200000,12,0.0,195615.0
147,12,0,50000.0,50000,12,0.0,50000.0
148,10,0,34969.4,50000,18,0.0,34969.4
149,7,0,212660.0,300000,12,0.0,212660.0
150,23,0,100000.0,100000,18,0.0,100000.0
151,2,0,36480.56,500000,36,0.0,36480.56
152,20,0,200000.0,200000,18,0.0,200000.0
153,15,0,140374.95,200000,24,0.0,140374.95
154,22,0,50000.0,50000,18,0.0,50000.0
155,11,0,177347.5,300000,24,0.0,177347.5
156,8,0,300377.76,500000,18,0.0,300377.76
157,2,0,54412.5,500000,24,0.0,54412.5
158,4,0,197400.0,500000,12,0.0,197400.0
159,20,0,49454.2,50000,24,0.0,49454.2
160,24,0,300000.0,300000,24,0.0,300000.0
161,18,0,300000.0,300000,12,0.0,300000.0
162,1,0,14572.22,200000,18,0.0,14572.22
163,11,0,393647.21,500000,18,0.0,393647.21
164,9,1,500000.0,500000,6,0.0,500000.0
165,12,1,300000.0,300000,12,0.0,300000.0
166,5,0,300000.0,300000,6,0.0,300000.0
167,16,0,100000.0,100000,12,0.0,100000.0
168,5,0,83930.55,500000,36,0.0,83930.55
169,34,0,300000.0,300000,36,0.0,300000.0
170,6,0,118500.0,300000,18,0.0,118500.0
171,23,0,76391.97,100000,36,0.0,76391.97
172,3,0,14574.99,100000,24,0.0,14574.99
173,16,0,300977.76,500000,36,0.0,300977.76
174,18,0,50000.0,50000,18,0.0,50000.0
175,35,0,100000.0,100000,36,0.0,100000.0
176,30,0,50000.0,50000,36,0.0,50000.0
177,8,0,42436.64,100000,24,0.0,42436.64
178,30,0,50000.0,50000,24,0.0,50000.0
179,6,1,185101.63,200000,6,14898.369999999995,185101.63
180,3,0,172110.0,300000,6,0.0,172110.0
181,9,0,50000.0,50000,6,0.0,50000.0
182,10,0,500000.0,500000,6,0.0,500000.0
183,28,0,50000.0,50000,24,0.0,50000.0
184,8,1,100730.99,500000,36,399269.01,100730.99
185,40,0,300000.0,300000,36,0.0,300000.0
186,5,0,200000.0,200000,6,0.0,200000.0
187,18,0,50000.0,50000,12,0.0,50000.0
188,9,1,147757.63,200000,12,52242.369999999995,147757.63
189,11,0,500000.0,500000,6,0.0,500000.0
190,7,0,500000.0,500000,6,0.0,500000.0
191,26,0,200000.0,200000,24,0.0,200000.0
192,32,0,100000.0,100000,36,0.0,100000.0
193,21,0,71283.24,100000,36,0.0,71283.24
194,3,0,33450.0,100000,12,0.0,33450.0
195,10,0,36394.4,100000,36,0.0,36394.4
196,9,0,251456.22,500000,24,0.0,251456.22
197,1,0,14310.0,200000,18,0.0,14310.0
199,4,0,168653.32,200000,6,0.0,168653.32
200,6,0,500000.0,500000,6,0.0,500000.0
201,15,1,200000.0,200000,12,0.0,200000.0
202,11,1,285071.2,300000,12,14928.799999999988,285071.2
203,17,0,270363.75,300000,24,0.0,270363.75
204,15,1,92519.38,300000,18,207480.62,92519.38
205,19,0,50000.0,50000,18,0.0,50000.0
206,17,0,252705.0,300000,24,0.0,252705.0
207,4,0,376266.68,500000,6,0.0,376266.68
208,4,0,38260.0,200000,24,0.0,38260.0
209,42,0,50000.0,50000,36,0.0,50000.0
210,10,0,32361.1,50000,18,0.0,32361.1
