loan_id,months_paid,default_flag,default_month,recovered_amount
1,15,0,,46916.7
2,29,0,,104464.38
3,3,0,,169140.0
4,6,0,,105375.0
5,13,0,,330606.25
6,11,0,,59679.62
7,9,0,,178004.97
8,9,0,,85837.5
9,7,0,,295143.31
10,20,0,,479166.6
11,5,0,,36641.65
12,2,0,,154543.28
13,14,0,,316516.62
14,5,0,,98891.65
15,24,1,24.0,149164.46
16,4,0,,21103.32
17,3,0,,14490.0
18,3,1,3.0,71512.34
19,7,0,,68541.69
20,7,0,,207252.5
21,9,0,,332575.02
22,10,1,10.0,86356.45
23,39,0,,127746.84
24,24,0,,407599.92
25,13,1,13.0,108306.81
26,7,0,,75915.0
27,10,0,,54587.5
28,8,0,,121160.0
29,2,0,,221100.0
30,42,0,,74876.76
31,17,0,,162463.39
32,4,0,,22481.64
33,11,0,,227663.37
34,17,0,,124855.48
35,13,0,,131050.79
36,36,0,,670200.12
37,2,1,2.0,5084.19
38,14,0,,274750.0
39,30,0,,71287.5
40,13,0,,706225.0
41,25,1,25.0,226928.6
42,28,1,28.0,159484.95
43,9,0,,48416.22
44,36,0,,245019.96
45,19,0,,288823.56
46,9,1,9.0,478748.77
47,12,0,,117489.96
48,5,1,5.0,15348.98
49,29,0,,100646.24
50,9,0,,49061.25
51,7,0,,24853.92
52,12,0,,796380.0
53,17,0,,80360.44
54,13,0,,63900.46
55,8,0,,54280.0
56,24,0,,40879.92
57,5,0,,550250.0
58,7,0,,33830.44
59,16,1,16.0,219980.78
60,10,1,10.0,98374.77
61,8,0,,213133.36
62,7,1,7.0,84105.87
63,14,0,,661850.07
64,21,0,,360033.24
65,14,0,,664533.38
66,11,0,,58762.88
67,13,1,13.0,222985.6
68,17,0,,592969.52
69,10,0,,71150.0
70,23,0,,441370.0
71,25,0,,38965.25
72,15,0,,71100.0
73,7,1,7.0,85962.67
74,17,0,,168356.61
75,29,0,,556294.24
76,11,0,,492653.37
77,11,1,11.0,138251.15
78,14,0,,46098.92
79,15,0,,194816.7
80,10,0,,445766.7
81,2,1,2.0,147439.39
82,20,0,,193133.4
83,1,0,,62730.0
84,13,0,,90342.72
85,6,0,,122310.0
86,8,0,,66785.04
87,18,0,,30122.46
88,8,1,8.0,174959.08
89,16,1,16.0,85924.37
90,13,0,,41997.28
91,12,1,12.0,224586.58
92,5,0,,50491.65
93,4,0,,19465.0
94,9,0,,88012.53
95,4,0,,58995.56
96,36,0,,607950.0
97,3,0,,14346.27
98,40,0,,250933.2
99,9,0,,61235.01
100,2,0,,194266.66
101,40,1,40.0,39912.06
102,12,0,,241479.96
103,1,1,1.0,37822.42
104,17,0,,263861.25
105,18,0,,375930.0
106,10,0,,320650.0
107,8,0,,324666.64
108,18,0,,61160.04
109,17,0,,174476.61
110,12,0,,616800.0
111,11,0,,76003.84
112,1,1,1.0,4169.87
113,18,0,,168885.0
114,7,1,7.0,401934.02
115,5,0,,121531.25
116,3,0,,57770.01
117,6,0,,32670.0
118,36,1,36.0,484867.67
119,14,0,,53795.07
120,28,0,,736691.76
121,13,0,,220711.14
122,18,0,,146081.34
123,18,0,,132159.96
124,6,0,,309075.0
125,12,0,,64565.04
126,12,0,,533720.04
127,1,1,1.0,7820.53
128,14,0,,47428.92
129,19,0,,269538.75
130,5,0,,561291.65
131,4,0,,403766.68
132,18,0,,195120.0
133,16,0,,874666.72
134,6,0,,244920.0
135,24,0,,388140.0
136,14,0,,364058.38
137,4,0,,9500.84
138,16,0,,310293.28
139,5,0,,34141.65
140,2,1,2.0,11991.58
141,11,0,,18835.96
142,4,0,,156506.68
143,14,1,14.0,59687.79
144,15,0,,79318.8
145,14,1,14.0,53329.04
146,9,0,,195615.0
147,12,0,,65334.96
148,10,0,,34969.4
149,7,0,,212660.0
150,23,0,,146241.59
151,2,0,,36480.56
152,20,0,,277311.2
153,15,0,,140374.95
154,22,0,,74800.0
155,11,0,,177347.5
156,8,0,,300377.76
157,2,0,,54412.5
158,4,0,,197400.0
159,20,0,,49454.2
160,24,0,,377040.0
161,18,0,,595890.0
162,1,0,,14572.22
163,11,0,,393647.21
164,9,1,9.0,786015.05
165,12,1,12.0,329702.65
166,5,0,,460350.0
167,16,0,,162280.0
168,5,0,,83930.55
169,34,0,,385106.78
170,6,0,,118500.0
171,23,0,,76391.97
172,3,0,,14574.99
173,16,0,,300977.76
174,18,0,,65989.98
175,35,0,,115937.5
176,30,0,,56408.4
177,8,0,,42436.64
178,30,0,,78612.6
179,6,1,6.0,185101.63
180,3,0,,172110.0
181,9,0,,141581.25
182,10,0,,1123166.7
183,28,0,,73144.12
184,8,1,8.0,100730.99
185,40,0,,397133.2
186,5,0,,209416.65
187,18,0,,101055.06
188,9,1,9.0,147757.63
189,11,0,,1043166.63
190,7,0,,719133.31
191,26,0,,279218.42
192,32,0,,119262.08
193,21,0,,71283.24
194,3,0,,33450.0
195,10,0,,36394.4
196,9,0,,251456.22
197,1,0,,14310.0
198,36,0,,789470.28
199,4,0,,168653.32
200,6,0,,630450.0
201,15,1,15.0,228596.66
202,11,1,11.0,285071.2
203,17,0,,270363.75
204,15,1,15.0,92519.38
205,19,0,,69978.14
206,17,0,,252705.0
207,4,0,,376266.68
208,4,0,,38260.0
209,42,0,,74538.24
210,10,0,,32361.1
211,10,0,,635050.0
212,2,1,2.0,36137.2
213,23,0,,220244.09
214,7,0,,139370.0
215,8,1,8.0,30270.49
